Price,Bedrooms,Bathrooms,Garages,Type,Latitude,Longitude,Remoteness
3100000,4,3,0,Flat,51.50086,-0.027152,0.638
2750000,3,3,0,Flat,51.500034,-0.017836,0.334
2500000,3,3,0,Flat,51.506195,-0.00519,0.994
2500000,3,3,0,Unknown,51.500675,-0.010129,0.641
2500000,3,3,0,Flat,51.501945,-0.027062,0.597
2500000,3,3,0,Flat,51.508457,-0.032054,1.111
2250000,3,1,0,Flat,51.506165,-0.028219,0.753
2200000,3,2,0,Flat,51.500034,-0.017836,0.334
2190000,6,4,0,Flat,51.50678,-0.004603,1.056
2150000,3,1,0,Flat,51.50678,-0.004603,1.056
2150000,2,1,0,Flat,51.505737,-0.005167,0.978
2150000,3,1,0,Flat,51.50678,-0.004603,1.056
2100000,3,1,0,Flat,51.507107,-0.02129,0.493
1975000,3,3,0,Flat,51.49575,-0.021955,0.839
1950000,3,1,0,Flat,51.50678,-0.004603,1.056
1950000,3,1,0,Flat,51.50678,-0.004603,1.056
1895000,3,2,0,Flat,51.501957,-0.024698,0.438
1850000,3,3,0,Flat,51.50715,-0.02907,0.859
1775000,2,1,0,Flat,51.500034,-0.017836,0.334
1775000,3,1,0,Unknown,51.50908,-0.0019033225,1.339
1750000,4,3,1,Detached,51.51129,-0.034195,1.419
1700000,2,2,0,Flat,51.49838,-0.018369,0.514
1700000,3,3,0,Flat,51.500282,-0.010103,0.661
1675000,2,1,0,Flat,51.505737,-0.005167,0.978
1650000,3,3,0,Flat,51.497128,-0.015009,0.699
1650000,3,2,0,Flat,51.4974,-0.012937,0.736
1620000,3,2,0,Flat,51.4974,-0.012937,0.736
1600000,2,3,0,Flat,51.507107,-0.02129,0.493
1600000,3,3,0,Flat,51.511856,-0.035813,1.546
1600000,3,1,0,Flat,51.502247,-0.025348,0.475
1595000,3,2,0,Flat,51.4974,-0.012937,0.736
1595000,3,2,0,Flat,51.501945,-0.027062,0.597
1575000,2,2,0,Flat,51.49838,-0.018369,0.514
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,1,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,1,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.49787,-0.020797,0.59
1575000,2,1,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,1,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.49787,-0.020797,0.59
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.500603,-0.016159689,0.316
1575000,2,1,0,Flat,51.500603,-0.016159689,0.316
1575000,2,2,0,Flat,51.49787,-0.020797,0.59
1574999,2,2,0,Flat,51.500603,-0.016159689,0.316
1574000,2,2,0,Flat,51.500603,-0.016159689,0.316
1570000,3,1,0,Flat,51.500675,-0.010129,0.641
1560000,3,1,0,Flat,51.500675,-0.010129,0.641
1559500,3,3,0,Flat,51.500732,-0.016524,0.29
1550000,2,1,0,Flat,51.49787,-0.020797,0.59
1550000,3,2,0,Flat,51.4974,-0.012937,0.736
1540000,3,1,0,Flat,51.500675,-0.010129,0.641
1525000,2,3,0,Flat,51.505737,-0.005167,0.978
1499950,2,2,0,Unknown,51.500675,-0.010129,0.641
1475000,3,1,0,Unknown,51.500675,-0.010129,0.641
1475000,3,1,0,Flat,51.500282,-0.010103,0.661
1400000,3,4,1,Unknown,51.50877,-0.029706,1.001
