Price,Bedrooms,Bathrooms,Garages,Type,Latitude,Longitude,Remoteness
945000,6,2,1,Detached,52.06694,1.160417,2.098
795000,7,3,1,Detached,52.065117,1.160083,1.917
650000,8,3,1,Detached,52.059258,1.165564,1.737
625000,4,2,0,Detached,52.05566,1.156075,0.975
610000,6,1,2,Detached,52.067734,1.168703,2.513
530000,6,2,0,Semi,52.06497,1.163896,2.065
500000,4,2,0,Detached,52.065704,1.163934,2.129
500000,4,1,0,Detached,52.065704,1.163934,2.129
475000,4,1,0,Detached,52.063854,1.205055,4.412
475000,3,2,0,Flat,52.05182,1.163885,1.363
465000,4,1,1,Detached,52.051487,1.21301,4.719
450000,6,3,0,Detached,52.05918,1.176662,2.411
450000,3,2,0,Flat,52.054996,1.158814,1.106
425000,4,1,1,Detached,52.048683,1.214238,4.81
425000,3,1,0,Bungalow,52.059845,1.181116,2.722
405000,3,1,1,Bungalow,52.072445,1.168118,2.899
399995,4,1,1,Detached,52.051487,1.21301,4.719
389995,3,1,2,Detached,52.05335,1.211364,4.614
385000,5,1,2,Detached,52.053883,1.216537,4.97
380000,2,3,0,Flat,52.05182,1.163885,1.363
379995,4,2,1,Detached,52.07069,1.182923,3.446
375000,4,3,2,Detached,52.05228,1.220551,5.236
375000,3,1,2,Detached,52.064278,1.215694,5.119
375000,4,2,0,Detached,52.06205,1.201365,4.11
375000,4,2,0,Detached,52.06205,1.201365,4.11
375000,4,1,1,Detached,52.073273,1.175766,3.294
375000,4,1,2,Detached,52.05228,1.220551,5.236
370000,4,1,1,Detached,52.05043,1.218521,5.096
365000,4,1,1,Detached,52.05904,1.194555,3.57
355000,3,2,0,Detached,52.061573,1.178758,2.651
350000,4,2,1,Detached,52.06007,1.173778,2.272
340000,4,1,1,Flat,52.062084,1.170083,2.168
340000,4,2,1,Detached,52.06007,1.173778,2.272
337500,2,1,1,Bungalow,52.071823,1.163097,2.658
335000,3,1,1,Detached,52.06584,1.189276,3.508
325000,4,1,1,Detached,52.05228,1.220551,5.236
325000,3,1,1,Bungalow,52.072803,1.18284,3.596
325000,4,1,0,Bungalow,52.06766,1.185116,3.367
325000,4,2,1,Detached,52.06094,1.1640607,1.762
325000,3,1,1,Bungalow,52.049328,1.218924,5.127
319995,4,1,1,Semi,52.07323,1.167969,2.966
315000,4,1,0,Detached,52.056004,1.217945,5.087
315000,4,1,0,Semi,52.063114,1.184311,3.068
315000,4,1,1,Detached,52.05034,1.219799,5.184
315000,3,1,1,Detached,52.071964,1.173352,3.076
310000,4,1,1,Detached,52.051487,1.21301,4.719
310000,5,1,0,Detached,52.06337,1.181177,2.89
310000,5,1,1,Detached,52.050137,1.210404,4.542
310000,5,2,1,Detached,52.050137,1.210404,4.542
305000,4,1,1,Detached,52.05043,1.218521,5.096
300000,3,1,1,Detached,52.06476,1.189681,3.478
300000,4,1,1,Detached,52.05113,1.210679,4.56
300000,4,1,0,Semi,52.056324,1.181624,2.64
300000,3,1,1,Detached,52.058987,1.193603,3.506
300000,4,1,0,Detached,52.05821,1.168802,1.876
299995,4,1,0,Bungalow,52.05637,1.177659,2.378
295000,3,1,0,Semi,52.06476,1.189681,3.478
295000,3,1,0,Semi,52.07221,1.175938,3.214
295000,2,2,0,Flat,52.05263,1.162178,1.256
295000,2,2,0,Flat,52.060158,1.174616,2.328
295000,4,1,0,Detached,52.057697,1.17841,2.468
290000,4,1,1,Flat,52.062084,1.170083,2.168
290000,4,1,1,Flat,52.062084,1.170083,2.168
290000,3,1,0,Semi,52.072056,1.185195,3.662
290000,4,2,1,Semi,52.06196,1.194136,3.638
290000,2,2,0,Flat,52.060158,1.174616,2.328
289995,4,1,1,Detached,52.051563,1.214839,4.844
286500,3,1,1,Detached,52.062897,1.177685,2.656
285000,4,1,1,Terraced,52.062084,1.170083,2.168
285000,4,1,0,Semi,52.057083,1.180745,2.602
285000,4,1,1,Flat,52.062084,1.170083,2.168
285000,4,1,1,Terraced,52.062084,1.170083,2.168
285000,4,1,1,Flat,52.062084,1.170083,2.168
285000,4,1,1,Flat,52.062084,1.170083,2.168
284995,3,1,1,Semi,52.06406,1.204136,4.36
280000,3,1,2,Semi,52.062756,1.198892,3.974
280000,4,4,0,Detached,52.06147,1.161591,1.674
279995,3,1,0,Bungalow,52.05223,1.199992,3.831
279995,4,2,1,Semi,52.065254,1.17597,2.7
275000,3,1,1,Detached,52.06262,1.181299,2.859
275000,4,1,1,Detached,52.06094,1.1640607,1.762
275000,3,1,1,Semi,52.0642,1.165374,2.071
275000,3,1,0,Semi,52.06871,1.175559,2.921
275000,3,1,1,Detached,52.065735,1.178893,2.894
275000,3,1,1,Bungalow,52.068817,1.176953,3.0
275000,3,1,1,Semi,52.058453,1.203311,4.139
275000,3,1,1,Semi,52.068195,1.180046,3.119
269995,3,1,1,Detached,52.05444,1.21719,5.019
269995,3,1,1,Semi,52.066513,1.189018,3.528
269500,3,1,0,Detached,52.055088,1.192114,3.321
260000,3,1,1,Semi,52.050205,1.208527,4.413
260000,3,1,1,Detached,52.055088,1.192114,3.321
260000,3,1,1,Flat,52.062084,1.170083,2.168
260000,3,1,1,Flat,52.062084,1.170083,2.168
259995,4,2,0,Detached,52.06209,1.162467,1.765
254995,3,1,1,Detached,52.05274,1.220511,5.235
250000,3,1,0,Semi,52.07082,1.177445,3.176
250000,3,1,0,Semi,52.067837,1.181582,3.179
250000,3,1,0,Bungalow,52.06306,1.187677,3.274
250000,3,1,0,Bungalow,52.06306,1.187677,3.274
250000,3,1,1,Semi,52.0591,1.190357,3.295
250000,4,1,1,Detached,52.06094,1.1640607,1.762
250000,3,1,1,Semi,52.069954,1.176493,3.062
250000,3,1,0,Semi,52.06827,1.178461,3.039
249995,3,1,0,Semi,52.06871,1.175559,2.921
249995,4,1,0,Terraced,52.060055,1.161725,1.576
249995,4,1,0,Detached,52.06232,1.167065,2.018
