Price,Bedrooms,Bathrooms,Garages,Type,Latitude,Longitude,Remoteness
775000,4,1,0,Detached,52.621628,1.276143,2.102
775000,4,1,0,Detached,52.621628,1.276143,2.102
725000,5,2,0,Semi,52.620018,1.272521,2.39
700000,5,2,0,Detached,52.626568,1.268265,2.547
695000,4,2,0,Detached,52.6297,1.264272,2.832
650000,8,1,0,Semi,52.625584,1.279424,1.801
650000,8,1,0,Semi,52.625584,1.279424,1.801
625000,3,3,1,Semi,52.617527,1.278379,2.141
600000,5,1,0,Flat,52.624306,1.277851,1.923
600000,3,1,0,Flat,52.62835,1.293539,0.854
550000,5,3,0,Terraced,52.62829,1.2801,1.754
500000,4,1,0,Semi,52.627888,1.271246,2.348
500000,4,1,0,Semi,52.627888,1.271246,2.348
475000,4,1,0,Terraced,52.629456,1.278546,1.873
475000,3,2,0,Flat,52.617123,1.277122,2.237
460000,4,3,0,Semi,52.630516,1.274413,2.167
450000,5,1,0,Semi,52.629456,1.278546,1.873
430000,3,2,1,Detached,52.6304,1.287589,1.299
430000,4,2,0,Semi,52.62151,1.273563,2.273
430000,2,1,0,Flat,52.62835,1.293539,0.854
425000,3,1,0,Terraced,52.62757,1.272301,2.275
400000,4,1,0,Terraced,52.630875,1.277706,1.958
400000,4,3,0,Terraced,52.630875,1.277706,1.958
390000,4,3,0,Terraced,52.623604,1.273616,2.218
375000,4,3,1,Detached,52.622402,1.284876,1.515
375000,4,1,0,Semi,52.62716,1.2757,2.045
360000,3,1,0,Terraced,52.629852,1.272353,2.293
360000,3,2,1,Semi,52.63557,1.268168,2.725
350000,3,1,0,Flat,52.625896,1.289793,1.101
350000,3,1,0,Semi,52.62294,1.269621,2.497
350000,2,1,0,Flat,52.62835,1.293539,0.854
350000,3,1,0,Bungalow,52.624794,1.272862,2.25
345000,4,1,0,Terraced,52.634617,1.274039,2.317
340000,3,2,0,Terraced,52.629223,1.274612,2.133
325000,2,1,0,Flat,52.62835,1.293539,0.854
325000,3,1,0,Terraced,52.6222,1.283412,1.615
325000,4,2,2,Detached,52.638092,1.27458,2.453
325000,2,1,1,Bungalow,52.62306,1.270827,2.414
325000,3,1,0,Semi,52.62546,1.27241,2.274
319950,3,2,1,Detached,52.623306,1.285018,1.475
315000,3,1,1,Detached,52.62352,1.284709,1.488
300000,4,1,0,Terraced,52.626625,1.282443,1.591
300000,4,2,0,Terraced,52.632843,1.283219,1.669
300000,4,1,1,Bungalow,52.623108,1.266175,2.723
300000,3,2,0,Terraced,52.625576,1.276128,2.022
300000,5,1,1,Detached,52.64107,1.274847,2.621
295000,2,1,0,Flat,52.62275,1.286927,1.371
290000,3,1,0,Terraced,52.626625,1.282443,1.591
290000,3,1,0,Semi,52.62454,1.275962,2.046
285000,4,2,0,Semi,52.63699,1.265672,2.94
275000,3,1,0,Semi,52.625183,1.274414,2.142
275000,5,2,0,Terraced,52.620434,1.266552,2.761
275000,2,1,0,Terraced,52.624382,1.272078,2.308
275000,3,1,0,Terraced,52.62609,1.275738,2.045
270000,3,1,1,Semi,52.625183,1.274414,2.142
270000,5,2,0,Unknown,52.62652,1.283026,1.552
265000,2,1,0,Terraced,52.626625,1.282443,1.591
260000,3,1,0,Terraced,52.622,1.284683,1.543
260000,3,1,0,Terraced,52.622,1.284683,1.543
260000,3,1,0,Detached,52.634323,1.275865,2.191
260000,3,1,0,Terraced,52.622,1.284683,1.543
250000,2,1,0,Flat,52.630516,1.274413,2.167
244950,3,1,0,Semi,52.631737,1.271844,2.365
244950,3,1,0,Semi,52.631737,1.271844,2.365
240000,3,1,0,Terraced,52.631794,1.273075,2.285
240000,4,2,0,Terraced,52.6275,1.277188,1.945
240000,2,1,0,Terraced,52.62684,1.282755,1.569
240000,2,1,0,Terraced,52.622066,1.277447,2.004
240000,2,1,1,Flat,52.623814,1.28742,1.303
235000,2,1,0,Flat,52.625896,1.289793,1.101
235000,3,1,0,Semi,52.63468,1.260001,3.22
235000,3,1,0,Terraced,52.62187,1.267708,2.647
235000,3,2,1,Semi,52.635994,1.27531,2.3
234950,2,2,0,Terraced,52.62378,1.282171,1.648
230000,2,1,0,Terraced,52.6236,1.274074,2.188
230000,2,2,0,Terraced,52.623013,1.278345,1.919
230000,2,1,0,Terraced,52.631332,1.288147,1.298
230000,2,1,0,Bungalow,52.62627,1.281899,1.629
230000,2,1,0,Semi,52.631332,1.288147,1.298
225000,2,1,0,Flat,52.62275,1.286927,1.371
225000,3,1,0,Terraced,52.627563,1.280001,1.756
220000,2,1,0,Flat,52.622066,1.286624,1.418
220000,2,1,0,Terraced,52.631794,1.273075,2.285
220000,2,1,0,Terraced,52.622,1.284683,1.543
220000,2,2,0,Terraced,52.62243,1.27805,1.954
220000,3,1,0,Terraced,52.6239,1.270697,2.408
220000,2,1,0,Flat,52.622066,1.286624,1.418
220000,4,4,0,Terraced,52.635036,1.271203,2.513
220000,3,1,0,Terraced,52.627407,1.273604,2.187
215000,3,1,0,Terraced,52.631794,1.273075,2.285
215000,3,1,0,Semi,52.635757,1.26116,3.179
214995,2,1,0,Flat,52.629826,1.28759,1.282
214950,2,1,0,Flat,52.629826,1.28759,1.282
210000,2,1,0,Flat,52.630512,1.293377,0.937
210000,3,1,0,Terraced,52.62337,1.280352,1.778
210000,3,1,0,Terraced,52.62146,1.277978,1.989
210000,2,1,0,Flat,52.62859,1.28902,1.16
210000,3,1,0,Detached,52.615818,1.276108,2.37
210000,3,1,0,Terraced,52.632183,1.270694,2.452
209995,2,1,0,Flat,52.629826,1.28759,1.282
205000,2,1,0,Flat,52.627888,1.271246,2.348
200000,1,1,0,Unknown,52.62859,1.28902,1.16
200000,2,1,0,Terraced,52.63495,1.265963,2.843
200000,3,1,1,Terraced,52.623604,1.273616,2.218
200000,3,1,0,Terraced,52.62454,1.275962,2.046
200000,3,2,0,Terraced,52.635273,1.267939,2.728
200000,2,1,0,Terraced,52.627144,1.275077,2.087
200000,3,1,0,Terraced,52.63495,1.265963,2.843
200000,2,1,1,Semi,52.63532,1.274062,2.346
199950,2,1,0,Flat,52.629826,1.28759,1.282
199950,3,2,0,Terraced,52.63557,1.268168,2.725
199950,3,1,0,Flat,52.622463,1.274137,2.209
195000,3,1,0,Terraced,52.63588,1.269655,2.644
195000,2,2,0,Terraced,52.635727,1.270634,2.577
195000,2,1,0,Flat,52.622463,1.274137,2.209
190000,2,1,0,Terraced,52.632988,1.276756,2.083
190000,2,1,0,Terraced,52.63171,1.273837,2.233
190000,2,1,0,Flat,52.629826,1.28759,1.282
190000,3,1,0,Flat,52.615818,1.276108,2.37
190000,2,1,0,Flat,52.62275,1.286927,1.371
190000,2,1,0,Flat,52.62381,1.285676,1.417
190000,2,1,0,Terraced,52.63588,1.269655,2.644
190000,3,1,0,Terraced,52.637287,1.276412,2.301
185000,2,1,0,Terraced,52.635536,1.266451,2.833
